product_id,review_cnt,share_pos,avg_conf,v3_mean,v3_med,ING__'정제수,ING__000 PPB),ING__000PPB),ING__000PPM),ING__1,ING__1-메틸하이단토인-2-이미드,ING__1. 다이브인 저분자 히알루론산 토너 500ML 정제수,ING__10-하이드록시데카노익애씨드,ING__2,ING__2-헥산다이올,ING__3-부탄다이올,ING__600PPM),ING__6코폴리머,ING__700 PPM),ING__750MG),ING__BUTYLENE GLYCOL,ING__C10-30알킬아크릴레이트크로스폴리머,ING__CERAMIDE NP,ING__CHOLESTEROL,ING__FRAGRANCE,ING__GLYCERIN,ING__NIACINAMIDE,ING__PROPANEDIOL,ING__글라이신,ING__글라이코프로테인,ING__글루코노락톤,ING__글루코사민에이치씨엘,ING__글루코오스,ING__글루쿠로닉애씨드,ING__글루타믹애씨드,ING__글루타믹애씨드발효여과물,ING__글루타민,ING__글루타티온,ING__글리세레스-26,ING__글리세릴글루코사이드,ING__글리세릴스테아레이트,ING__글리세릴스테아레이트시트레이트,ING__글리세릴아크릴레이트,ING__글리세릴카프릴레이트,ING__나이아신아마이드(20,ING__녹두추출물발효여과물,ING__녹차추출물,ING__다이글리세린,ING__다이메티콘,ING__다이메틸실란올하이알루로네이트,ING__다이소듐이디티에이,ING__다이소듐이디티에이 [로션] 약모밀꽃,ING__다이포타슘글리시리제이트,ING__다이포타슘포스페이트,ING__다이프로필렌글라이콜,ING__달맞이꽃오일,ING__돌콩추출물,ING__락토바실러스,ING__레몬껍질오일,ING__리날룰,ING__리모넨,ING__마데카소사이드,ING__마카다미아씨오일,ING__마트리카리아꽃추출물,ING__만니톨,ING__말라카이트추출물,ING__메틸글루세스-20,ING__메틸트라이메티콘,ING__바실러스,ING__백미꽃추출물,ING__베타-글루칸,ING__베타인,ING__벤질글라이콜,ING__병풀추출물,ING__브이피코폴리머,ING__블루아가베잎추출물,ING__비닐다이메티콘크로스폴리머,ING__비스-카프릴로일옥시팔미타미도아이소프로판올,ING__비피다발효여과물,ING__비피다발효용해물,ING__비피다발효추출물,ING__사과수,ING__사과씨추출물,ING__사과추출물,ING__사이클로펜타실록세인,ING__사탕수수추출물,ING__석류발효추출물,ING__세라마이드엔피(5,ING__세린,ING__세테아릴알코올,ING__세트리모늄브로마이드,ING__센티드제라늄꽃오일,ING__셀룰로오스,ING__셀룰로오스검,ING__소듐디엔에이,ING__소듐락테이트,ING__소듐스테아로일글루타메이트,ING__소듐시트레이트,ING__소듐아세틸레이티드하이알루로네이트,ING__소듐아크릴로일다이메틸타우레이트코폴리머,ING__소듐파이테이트,ING__소듐폴리아크릴레이트,ING__소듐피씨에이,ING__소듐하이드록사이드,ING__소듐하이알루로네이트,ING__소듐하이알루로네이트(2,ING__소듐하이알루로네이트다이메틸실란올,ING__소듐하이알루로네이트크로스폴리머,ING__솔비탄라우레이트,ING__솔비탄아이소스테아레이트,ING__솔비톨,ING__쇠비름추출물,ING__수크로오스,ING__수크로오스라우레이트,ING__슈가캘프발효물,ING__스쿠알란,ING__스키조사카로미세스발효여과물,ING__스타아니스추출물,ING__스타이렌,ING__스테아릴메타크릴레이트코폴리머,ING__시트릭애씨드,ING__쌀발효물,ING__아데노신,ING__아이리쉬모스추출물,ING__아이비고드열매추출물,ING__아이소펜틸다이올,ING__아크릴레이트,ING__안하이드로자일리톨,ING__알란토인,ING__알지닌,ING__암모늄아크릴로일다이메틸타우레이트,ING__에틸헥실글리세린,ING__에틸헥실스테아레이트,ING__옥탄다이올,ING__옥틸도데세스-16,ING__옥틸도데실라우로일글루타메이트,ING__올리브오일,ING__우엉뿌리추출물,ING__울금뿌리추출물,ING__유채스테롤,ING__인도멀구슬나무꽃추출물,ING__인도멀구슬나무잎추출물,ING__잎,ING__자일리톨,ING__자일리틸글루코사이드,ING__잔탄검,ING__접시꽃추출물,ING__정제수,ING__줄기수,ING__줄기추출물,ING__진흙버섯추출물,ING__참산호말추출물,ING__체이스트트리추출물,ING__카보머,ING__카퍼트라이펩타이드-1,ING__카프릭트라이글리세라이드,ING__카프릴릭,ING__카프릴릴글라이콜,ING__콩추출물발효여과물,ING__토코페롤,ING__트라이데세스-6,ING__트라이소듐이디티에이,ING__트레오닌,ING__트레할로오스,ING__트로메타민,ING__트립토판,ING__티트리꽃,ING__티트리잎수,ING__티트리잎오일,ING__티트리잎추출물,ING__티트리추출물,ING__파스향나무잎추출물,ING__파파야열매추출물,ING__파파인,ING__판테놀,ING__팔미토일옥소스테아라마이드,ING__페녹시에탄올,ING__페닐알라닌,ING__페닐트라이메티콘,ING__펜타에리스리틸테트라아이소스테아레이트,ING__펜타에리스리틸테트라에틸헥사노에이트,ING__펜틸렌글라이콜,ING__포타슘하이알루로네이트,ING__폴리글리세릴-10라우레이트,ING__폴리솔베이트20,ING__폴리쿼터늄-51,ING__프로테아제,ING__피토스테릴,ING__하이드로제네이티드레시틴,ING__하이드로제네이티드폴리,ING__하이드록시아세토페논,ING__하이드록시에틸셀룰로오스,ING__하이드록시에틸아크릴레이트,ING__하이드록시프로필트라이모늄하이알루로네이트,ING__하이드롤라이즈드글라이코사미노글리칸,ING__하이드롤라이즈드소듐하이알루로네이트,ING__하이드롤라이즈드하이알루로닉애씨드,ING__하이알루로닉애씨드,ING__해바라기씨오일,ING__해수,ING__홀리바질잎추출물,ING__황금추출물,ING__효모,ING__효모발효여과물,ING__히스티딘,CNT__is_fragrance,CNT__is_allergen,CNT__is_exfoliant,TOP10__EXFOLIANT_COUNT,priority
A000000004434,993,0.8942598187311178,0.9835303839960127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,888.0
A000000132162,984,0.8678861788617886,0.9823553961951558,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,854.0
A000000155253,989,0.8483316481294236,0.9768807164217271,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,839.0
A000000159921,985,0.8294416243654822,0.9783927617339313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,817.0
A000000165355,749,0.8624833110814419,0.9799294041218523,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,646.0
A000000180474,965,0.8818652849740932,0.984229539095429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,851.0
A000000188874,989,0.8786653185035389,0.9808931860571805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,869.0
A000000189181,981,0.8430173292558614,0.9784796889890346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,827.0
