token,count,INCI
소듐하이알루로네이트,24,SODIUM HYALURONATE
판테놀,18,PANTHENOL
나이아신아마이드,14,NIACINAMIDE
알란토인,14,ALLANTOIN
아데노신,13,ADENOSINE
세라마이드엔피,12,CERAMIDE NP
토코페롤,11,TOCOPHEROL
베타인,11,BETAINE
하이드롤라이즈드하이알루로닉애씨드,10,HYDROLYZED HYALURONIC ACID
소듐하이알루로네이트크로스폴리머,10,SODIUM HYALURONATE CROSSPOLYMER
베타-글루칸,9,BETA-GLUCAN
소듐아세틸레이티드하이알루로네이트,9,SODIUM ACETYLATED HYALURONATE
알지닌,9,ARGININE
하이드롤라이즈드소듐하이알루로네이트,9,HYDROLYZED SODIUM HYALURONATE
소듐디엔에이,8,SODIUM DNA
마데카소사이드,8,MADECASSOSIDE
하이알루로닉애씨드,7,HYALURONIC ACID
하이드록시프로필트라이모늄하이알루로네이트,6,HYDROXYPROPYLTRIMONIUM HYALURONATE
마데카식애씨드,6,MADECASSIC ACID
병풀추출물,6,CENTELLA ASIATICA EXTRACT
스쿠알란,5,SQUALANE
말라카이트추출물,5,MALACHITE EXTRACT
인도멀구슬나무꽃추출물,5,MELIA AZADIRACHTA FLOWER EXTRACT
아시아티코사이드,5,ASIATICOSIDE
인도멀구슬나무잎추출물,5,MELIA AZADIRACHTA LEAF EXTRACT
글루타믹애씨드,4,GLUTAMIC ACID
히스티딘,4,HISTIDINE
모란뿌리추출물,4,PAEONIA SUFFRUTICOSA ROOT EXTRACT
황금추출물,4,SCUTELLARIA BAICALENSIS ROOT EXTRACT
콜레스테롤,4,CHOLESTEROL
글루타티온,4,GLUTATHIONE
홀리바질잎추출물,4,OCIMUM SANCTUM LEAF EXTRACT
사이아노코발아민,4,CYANOCOBALAMIN
글라이신,4,GLYCINE
트레할로오스,4,TREHALOSE
세린,4,SERINE
하이드롤라이즈드콜라겐,4,HYDROLYZED COLLAGEN
카프릴릭/카프릭트라이글리세라이드,4,CAPRYLIC/CAPRIC TRIGLYCERIDE
포타슘하이알루로네이트,4,POTASSIUM HYALURONATE
울금뿌리추출물,4,CURCUMA LONGA (TURMERIC) ROOT EXTRACT
참산호말추출물,4,CORALLINA OFFICINALIS EXTRACT
징크피씨에이,3,ZINC PCA
로즈마리잎오일,3,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL
쇠비름추출물,3,PORTULACA OLERACEA EXTRACT
리모넨,3,LIMONENE
팔미토일트라이펩타이드-1,3,PALMITOYL TRIPEPTIDE-1
아세틸헥사펩타이드-8,3,ACETYL HEXAPEPTIDE-8
병풀잎추출물,3,CENTELLA ASIATICA LEAF EXTRACT
호호바씨오일,3,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL
아이리쉬모스추출물,3,CHONDRUS CRISPUS EXTRACT
향료,3,FRAGRANCE
아스파틱애씨드,3,ASPARTIC ACID
아시아틱애씨드,3,ASIATIC ACID
덱스트린,3,DEXTRIN
다이포타슘글리시리제이트,3,DIPOTASSIUM GLYCYRRHIZATE
하이드롤라이즈드글라이코사미노글리칸,3,HYDROLYZED GLYCOSAMINOGLYCANS
마카다미아씨오일,2,MACADAMIA TERNIFOLIA SEED OIL
멕시칸주니퍼오일,2,JUNIPERUS MEXICANA OIL
라벤더오일,2,LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL
베르가모트오일,2,CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL
해바라기씨오일,2,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL
치자추출물,2,GARDENIA FLORIDA FRUIT EXTRACT
사탕수수추출물,2,SACCHARUM OFFICINARUM (SUGARCANE) EXTRACT
타마린드씨검,2,TAMARINDUS INDICA SEED GUM
사과추출물,2,PYRUS MALUS (APPLE) FRUIT EXTRACT
쑥잎추출물,2,ARTEMISIA PRINCEPS LEAF EXTRACT
소듐헤파린,2,SODIUM HEPARIN
프롤린,2,PROLINE
트레오닌,2,THREONINE
페닐알라닌,2,PHENYLALANINE
타이로신,2,TYROSINE
라이신,2,LYSINE
알라닌,2,ALANINE
류신,2,LEUCINE
프로폴리스추출물,2,PROPOLIS EXTRACT
티트리추출물,2,MELALEUCA ALTERNIFOLIA (TEA TREE) EXTRACT
버지니아풍년화추출물,2,HAMAMELIS VIRGINIANA (WITCH HAZEL) EXTRACT
자일리톨,2,XYLITOL
시스테인,2,CYSTEINE
메티오닌,2,METHIONINE
아이소류신,2,ISOLEUCINE
발린,2,VALINE
석류추출물,2,PUNICA GRANATUM FRUIT EXTRACT
버지니아풍년화잎추출물,2,HAMAMELIS VIRGINIANA (WITCH HAZEL) LEAF EXTRACT
광곽향오일,2,POGOSTEMON CABLIN OIL
다마스크장미꽃수,2,ROSA DAMASCENA FLOWER WATER
트라이에틸헥사노인,2,TRIETHYLHEXANOIN
세틸에틸헥사노에이트,2,CETYL ETHYLHEXANOATE
카퍼트라이펩타이드-1,2,COPPER TRIPEPTIDE-1
팔미토일테트라펩타이드-7,2,PALMITOYL TETRAPEPTIDE-7
팔미토일펜타펩타이드-4,2,PALMITOYL PENTAPEPTIDE-4
유비퀴논,2,UBIQUINONE
말토덱스트린,2,MALTODEXTRIN
아이소프로필미리스테이트,2,ISOPROPYL MYRISTATE
리날룰,2,LINALOOL
클레리오일,2,SALVIA SCLAREA (CLARY) OIL
락토바실러스/콩발효추출물,2,LACTOBACILLUS/SOYBEAN FERMENT EXTRACT
가지열매추출물,2,SOLANUM MELONGENA (EGGPLANT) FRUIT EXTRACT
아이비고드열매추출물,2,COCCINIA INDICA FRUIT EXTRACT
참마뿌리추출물,2,DIOSCOREA JAPONICA ROOT EXTRACT
티옥틱애씨드,1,THIOCTIC ACID
비피다발효용해물,1,BIFIDA FERMENT LYSATE
갈락토미세스발효여과물,1,GALACTOMYCES FERMENT FILTRATE
알테로모나스발효추출물,1,ALTEROMONAS FERMENT EXTRACT
실크추출물,1,SILK EXTRACT
염소유추출물,1,GOAT MILK EXTRACT
노니열매추출물,1,MORINDA CITRIFOLIA FRUIT EXTRACT
노니씨오일,1,MORINDA CITRIFOLIA SEED OIL
캐모마일꽃추출물,1,ANTHEMIS NOBILIS FLOWER EXTRACT
로즈마리잎추출물,1,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT
호장근뿌리추출물,1,POLYGONUM CUSPIDATUM ROOT EXTRACT
하이드록시프로필사이클로덱스트린,1,HYDROXYPROPYL CYCLODEXTRIN
흰목이버섯추출물,1,TREMELLA FUCIFORMIS (MUSHROOM) EXTRACT
만다린껍질추출물,1,CITRUS NOBILIS (MANDARIN ORANGE) PEEL EXTRACT
올리브오일,1,OLEA EUROPAEA (OLIVE) FRUIT OIL
퀸즈랜드넛오일,1,MACADAMIA INTEGRIFOLIA SEED OIL
포도씨오일,1,VITIS VINIFERA (GRAPE) SEED OIL
수용성콜라겐,1,SOLUBLE COLLAGEN
다시마추출물,1,LAMINARIA JAPONICA EXTRACT
한련초잎추출물,1,ECLIPTA PROSTRATA LEAF EXTRACT
글라이코실트레할로오스,1,GLYCOSYL TREHALOSE
하이드로제네이티드스타치하이드롤리세이트,1,HYDROGENATED STARCH HYDROLYSATE
라피노오스,1,RAFFINOSE
사카라이드아이소머레이트,1,SACCHARIDE ISOMERATE
황련뿌리추출물,1,COPTIS JAPONICA ROOT EXTRACT
다이메틸실란올하이알루로네이트,1,DIMETHYLSILANOL HYALURONATE
소듐하이알루로네이트다이메틸실란올,1,SODIUM HYALURONATE DIMETHYLSILANOL
락토바실러스발효용해물,1,LACTOBACILLUS FERMENT LYSATE
효모/감자추출물발효여과물,1,SACCHAROMYCES/POTATO EXTRACT FERMENT FILTRATE
효모/보리씨발효여과물,1,SACCHAROMYCES/BARLEY SEED FERMENT FILTRATE
시어버터,1,BUTYROSPERMUM PARKII (SHEA) BUTTER
돌콩오일,1,GLYCINE SOJA (SOYBEAN) OIL
트록세루틴,1,TROXERUTIN
글라이코스핑고리피드,1,GLYCOSPHINGOLIPIDS
폴리글리세린-3,1,POLYGLYCERIN-3
피토스테롤,1,PHYTOSTEROLS
하이알루로닉,1,HYALURONIC ACID
애씨드,1,HYALURONIC ACID
이노시톨,1,INOSITOL
락토바실러스발효물,1,LACTOBACILLUS FERMENT
하이드롤,1,HYDROLYZED GARDENIA FLORIDA EXTRACT
라이즈드치자추출물,1,HYDROLYZED GARDENIA FLORIDA EXTRACT
프로필렌글라이콜,1,PROPYLENE GLYCOL
이리추출물,1,HIRUDO EXTRACT
연어알추출물,1,SALMON EGG EXTRACT
아텔로콜라겐,1,ATELOCOLLAGEN
바오밥나무씨오일,1,ADANSONIA DIGITATA SEED OIL
폴리글루쿠로닉애씨드,1,POLYGLUCURONIC ACID
서양배추출물,1,PYRUS COMMUNIS (PEAR) FRUIT EXTRACT
연필향나무오일,1,JUNIPERUS VIRGINIANA OIL
멜론추출물,1,CUCUMIS MELO (MELON) FRUIT EXTRACT
오리스뿌리추출물,1,IRIS FLORENTINA ROOT EXTRACT
서양송악잎/줄기추출물,1,HEDERA HELIX (IVY) LEAF/STEM EXTRACT
불가리스쑥오일,1,ARTEMISIA VULGARIS OIL
세라마이드엔에스,1,CERAMIDE NS
세라마이드에이에스,1,CERAMIDE AS
세라마이드이오피,1,CERAMIDE EOP
세라마이드에이피,1,CERAMIDE AP
산양삼추출물,1,PANAX GINSENG ROOT EXTRACT
스위트아몬드추출물,1,PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) SEED EXTRACT
백미꽃추출물,1,CYNANCHUM ATRATUM EXTRACT
효모/겨우살이발효추출물,1,SACCHAROMYCES/VISCUM ALBUM (MISTLETOE) FERMENT EXTRACT
효모/띠뿌리발효추출물,1,SACCHAROMYCES/IMPERATA CYLINDRICA ROOT FERMENT EXTRACT
바다포도추출물,1,CAULERPA LENTILLIFERA EXTRACT
청각추출물,1,CODIUM FRAGILE EXTRACT
약모밀추출물,1,HOUTTUYNIA CORDATA EXTRACT
프랑스해안송껍질추출물,1,PINUS PINASTER BARK EXTRACT
크랜베리추출물,1,VACCINIUM MACROCARPON (CRANBERRY) FRUIT EXTRACT
라즈베리추출물,1,RUBUS IDAEUS (RASPBERRY) FRUIT EXTRACT
블랙체리열매추출물,1,PRUNUS SEROTINA (WILD CHERRY) FRUIT EXTRACT
산수유열매추출물,1,CORNUS OFFICINALIS FRUIT EXTRACT
알에이치-올리고펩타이드-1,1,rh-OLIGOPEPTIDE-1
알에이치-폴리펩타이드-1,1,rh-POLYPEPTIDE-1
알에이치-폴리펩타이드-2,1,rh-POLYPEPTIDE-2
아세틸올리고펩타이드-99아마이드,1,ACETYL OLIGOPEPTIDE-99 AMIDE
피키아발효추출여과물,1,PICHIA FERMENT LYSATE FILTRATE
황해쑥잎수,1,ARTEMISIA ARGYI LEAF WATER
스핑고모나스발효추출물,1,SPHINGOMONAS FERMENT EXTRACT
에틸헥실,1,ETHYLHEXYL PALMITATE
헥사펩타이드-9,1,HEXAPEPTIDE-9
트라이펩타이드-1,1,TRIPEPTIDE-1
엑토인,1,ECTOIN
트립토판,1,TRYPTOPHAN
아스파라진,1,ASPARAGINE
글루타민,1,GLUTAMINE
스클레로튬검,1,SCLEROTIUM GUM
낫토검,1,NATTO GUM
스타아니스추출물,1,ILLICIUM VERUM (ANISE) FRUIT EXTRACT
트레할로스,1,TREHALOSE
케이프알로에잎추출물,1,ALOE FEROX LEAF EXTRACT
흰버드나무껍질추출물,1,SALIX ALBA (WILLOW) BARK EXTRACT
버지니아풍년화수,1,HAMAMELIS VIRGINIANA (WITCH HAZEL) WATER
사과수,1,PYRUS MALUS (APPLE) FRUIT WATER
접시꽃추출물,1,ALTHAEA ROSEA FLOWER EXTRACT
소듐카복시메틸베타-글루칸,1,SODIUM CARBOXYMETHYL BETA-GLUCAN
폴리글루타믹애씨드,1,POLYGLUTAMIC ACID
알로에베라꽃추출물,1,ALOE BARBADENSIS FLOWER EXTRACT
카페인,1,CAFFEINE
도둑놈의지팡이뿌리추출물,1,SOPHORA FLAVESCENS ROOT EXTRACT
띠뿌리추출물,1,IMPERATA CYLINDRICA ROOT EXTRACT
더덕뿌리추출물,1,CODONOPSIS LANCEOLATA ROOT EXTRACT
폴리쿼터늄-51,1,POLYQUATERNIUM-51
갈랑가갈랑갈추출물,1,ALPINIA GALANGA EXTRACT
바이오사카라이드검-1,1,BIOSACCHARIDE GUM-1
돌콩추출물,1,GLYCINE SOJA (SOYBEAN) SEED EXTRACT
레몬밤잎추출물,1,MELISSA OFFICINALIS LEAF EXTRACT
무화과추출물,1,FICUS CARICA (FIG) FRUIT EXTRACT
센티드제라늄꽃오일,1,PELARGONIUM GRAVEOLENS FLOWER OIL
하이드록시페닐프로파미도벤조익애씨드,1,HYDROXYPHENYL PROPAMIDOBENZOIC ACID
꿀추출물,1,HONEY EXTRACT
아스코빌팔미테이트,1,ASCORBYL PALMITATE
바이오틴,1,BIOTIN
시트로넬올,1,CITRONELLOL
제라니올,1,GERANIOL
편백오일,1,CHAMAECYPARIS OBTUSA OIL
장미꽃오일,1,ROSE FLOWER OIL
장미추출물,1,ROSE EXTRACT
올리고펩타이드-1,1,OLIGOPEPTIDE-1
알파-알부틴,1,ALPHA-ARBUTIN
에칠아스코빌에텔,1,ETHYL ASCORBIC ETHER
비타민나무수,1,HIPPOPHAE RHAMNOIDES WATER
구아바열매추출물,1,PSIDIUM GUAJAVA FRUIT EXTRACT
카카오씨추출물,1,THEOBROMA CACAO (COCOA) SEED EXTRACT
플로레틴,1,PHLORETIN
테트라하이드로피페린,1,TETRAHYDROPIPERINE
팔마로사오일,1,CYMBOPOGON MARTINI OIL
시트로넬라오일,1,CYMBOPOGON NARDUS (CITRONELLA) OIL
에틸헥실팔미테이트,1,ETHYLHEXYL PALMITATE
하이드롤라이즈드스클레로튬검,1,HYDROLYZED SCLEROTIUM GUM
필리핀오렌지껍질오일,1,CITRUS NOBILIS (MANDARIN ORANGE) PEEL OIL
티트리잎추출물,1,MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF EXTRACT
티트리꽃/잎/줄기추출물,1,MELALEUCA ALTERNIFOLIA (TEA TREE) FLOWER/LEAF/STEM EXTRACT
몰로키아잎추출물,1,CORCHORUS OLITORIUS LEAF EXTRACT
신선초추출물,1,ANGELICA KEISKEI EXTRACT
연꽃뿌리추출물,1,NELUMBO NUCIFERA ROOT EXTRACT
오크라열매추출물,1,HIBISCUS ESCULENTUS FRUIT EXTRACT
티트리잎수,1,MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF WATER
티트리잎오일,1,MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL
글라이코리피드,1,GLYCOLIPIDS
피브이피,1,PVP
4-터피네올,1,4-TERPINEOL
탄제린추출물,1,CITRUS TANGERINA (TANGERINE) EXTRACT
토코페릴아세테이트,1,TOCOPHERYL ACETATE
하이드롤라이즈드호호바에스터,1,HYDROLYZED JOJOBA ESTERS
아스코빌글루코사이드,1,ASCORBYL GLUCOSIDE
아스코빅애씨드,1,ASCORBIC ACID
레몬껍질오일,1,CITRUS LIMON (LEMON) PEEL OIL
오렌지껍질오일,1,CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL
유칼립투스잎추출물,1,EUCALYPTUS GLOBULUS LEAF EXTRACT
일랑일랑꽃오일,1,CANANGA ODORATA FLOWER OIL
3-O-에틸아스코빅애씨드,1,3-O-ETHYL ASCORBIC ACID
소듐아스코빌포스페이트,1,SODIUM ASCORBYL PHOSPHATE
감초뿌리추출물,1,GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT
녹차추출물,1,CAMELLIA SINENSIS LEAF EXTRACT
스키산드라,1,SCHISANDRA CHINENSIS FRUIT EXTRACT
스페난테라열매추출물,1,SCHISANDRA SPHENANTHERA FRUIT EXTRACT
프룩토올리고사카라이드,1,FRUCTOOLIGOSACCHARIDES
식물성스쿠알란,1,SQUALANE
자일리틸글루코사이드,1,XYLITYLGLUCOSIDE
안하이드로자일리톨,1,ANHYDROXYLITOL
글루코오스,1,GLUCOSE
